From,To,Overlap
AbstractArrayAssert.java,AbstractArrayAssert.java,0.0
AbstractArrayAssert.java,AbstractArrayAssert.java,0.0
AbstractArrayAssert.java,AbstractAssert.java,0.02478134110787172
AbstractAssert.java,AbstractArrayAssert.java,0.02478134110787172
AbstractArrayAssert.java,AbstractAtomicFieldUpdaterAssert.java,0.2111111111111111
AbstractAtomicFieldUpdaterAssert.java,AbstractArrayAssert.java,0.2111111111111111
AbstractArrayAssert.java,AbstractAtomicReferenceAssert.java,0.2602739726027397
AbstractAtomicReferenceAssert.java,AbstractArrayAssert.java,0.2602739726027397
AbstractArrayAssert.java,AbstractBDDSoftAssertions.java,0.049707602339181284
AbstractBDDSoftAssertions.java,AbstractArrayAssert.java,0.049707602339181284
AbstractArrayAssert.java,AbstractBigDecimalAssert.java,0.04408352668213457
AbstractBigDecimalAssert.java,AbstractArrayAssert.java,0.04408352668213457
AbstractArrayAssert.java,AbstractBigIntegerAssert.java,0.03991130820399113
AbstractBigIntegerAssert.java,AbstractArrayAssert.java,0.03991130820399113
AbstractArrayAssert.java,AbstractBooleanArrayAssert.java,0.037422037422037424
AbstractBooleanArrayAssert.java,AbstractArrayAssert.java,0.037422037422037424
AbstractArrayAssert.java,AbstractBooleanAssert.java,0.10778443113772455
AbstractBooleanAssert.java,AbstractArrayAssert.java,0.10778443113772455
AbstractArrayAssert.java,AbstractByteArrayAssert.java,0.021634615384615384
AbstractByteArrayAssert.java,AbstractArrayAssert.java,0.021634615384615384
AbstractArrayAssert.java,AbstractByteAssert.java,0.03231597845601436
AbstractByteAssert.java,AbstractArrayAssert.java,0.03231597845601436
AbstractArrayAssert.java,AbstractCharacterAssert.java,0.06643356643356643
AbstractCharacterAssert.java,AbstractArrayAssert.java,0.06643356643356643
AbstractArrayAssert.java,AbstractCharArrayAssert.java,0.03508771929824561
AbstractCharArrayAssert.java,AbstractArrayAssert.java,0.03508771929824561
AbstractArrayAssert.java,AbstractCharSequenceAssert.java,0.016129032258064516
AbstractCharSequenceAssert.java,AbstractArrayAssert.java,0.016129032258064516
AbstractArrayAssert.java,AbstractClassAssert.java,0.031746031746031744
AbstractClassAssert.java,AbstractArrayAssert.java,0.031746031746031744
AbstractArrayAssert.java,AbstractComparableAssert.java,0.11538461538461539
AbstractComparableAssert.java,AbstractArrayAssert.java,0.11538461538461539
AbstractArrayAssert.java,AbstractCompletableFutureAssert.java,0.04603580562659847
AbstractCompletableFutureAssert.java,AbstractArrayAssert.java,0.04603580562659847
AbstractArrayAssert.java,AbstractDateAssert.java,0.007207890743550834
AbstractDateAssert.java,AbstractArrayAssert.java,0.007207890743550834
AbstractArrayAssert.java,AbstractDoubleArrayAssert.java,0.01929260450160772
AbstractDoubleArrayAssert.java,AbstractArrayAssert.java,0.01929260450160772
AbstractArrayAssert.java,AbstractDoubleAssert.java,0.030448717948717948
AbstractDoubleAssert.java,AbstractArrayAssert.java,0.030448717948717948
AbstractArrayAssert.java,AbstractEnumerableAssert.java,0.17886178861788618
AbstractEnumerableAssert.java,AbstractArrayAssert.java,0.17886178861788618
AbstractArrayAssert.java,AbstractFileAssert.java,0.02936378466557912
AbstractFileAssert.java,AbstractArrayAssert.java,0.02936378466557912
AbstractArrayAssert.java,AbstractFloatArrayAssert.java,0.01933404940923738
AbstractFloatArrayAssert.java,AbstractArrayAssert.java,0.01933404940923738
AbstractArrayAssert.java,AbstractFloatAssert.java,0.02821316614420063
AbstractFloatAssert.java,AbstractArrayAssert.java,0.02821316614420063
AbstractArrayAssert.java,AbstractFutureAssert.java,0.09326424870466321
AbstractFutureAssert.java,AbstractArrayAssert.java,0.09326424870466321
AbstractArrayAssert.java,AbstractInputStreamAssert.java,0.16216216216216217
AbstractInputStreamAssert.java,AbstractArrayAssert.java,0.16216216216216217
AbstractArrayAssert.java,AbstractInstantAssert.java,0.036468330134357005
AbstractInstantAssert.java,AbstractArrayAssert.java,0.036468330134357005
AbstractArrayAssert.java,AbstractIntArrayAssert.java,0.03870967741935484
AbstractIntArrayAssert.java,AbstractArrayAssert.java,0.03870967741935484
AbstractArrayAssert.java,AbstractIntegerAssert.java,0.038
AbstractIntegerAssert.java,AbstractArrayAssert.java,0.038
AbstractArrayAssert.java,AbstractIterableAssert.java,0.007094846900672144
AbstractIterableAssert.java,AbstractArrayAssert.java,0.007094846900672144
AbstractArrayAssert.java,AbstractIterableSizeAssert.java,0.3103448275862069
AbstractIterableSizeAssert.java,AbstractArrayAssert.java,0.3103448275862069
AbstractArrayAssert.java,AbstractListAssert.java,0.049479166666666664
AbstractListAssert.java,AbstractArrayAssert.java,0.049479166666666664
AbstractArrayAssert.java,AbstractLocalDateAssert.java,0.036053130929791274
AbstractLocalDateAssert.java,AbstractArrayAssert.java,0.036053130929791274
AbstractArrayAssert.java,AbstractLocalDateTimeAssert.java,0.0273972602739726
AbstractLocalDateTimeAssert.java,AbstractArrayAssert.java,0.0273972602739726
AbstractArrayAssert.java,AbstractLocalTimeAssert.java,0.027820710973724884
AbstractLocalTimeAssert.java,AbstractArrayAssert.java,0.027820710973724884
AbstractArrayAssert.java,AbstractLongArrayAssert.java,0.03870967741935484
AbstractLongArrayAssert.java,AbstractArrayAssert.java,0.03870967741935484
AbstractArrayAssert.java,AbstractLongAssert.java,0.038306451612903226
AbstractLongAssert.java,AbstractArrayAssert.java,0.038306451612903226
AbstractArrayAssert.java,AbstractMapAssert.java,0.014693877551020407
AbstractMapAssert.java,AbstractArrayAssert.java,0.014693877551020407
AbstractArrayAssert.java,AbstractMapSizeAssert.java,0.32727272727272727
AbstractMapSizeAssert.java,AbstractArrayAssert.java,0.32727272727272727
AbstractArrayAssert.java,AbstractObjectArrayAssert.java,0.006836991723641598
AbstractObjectArrayAssert.java,AbstractArrayAssert.java,0.006836991723641598
AbstractArrayAssert.java,AbstractObjectAssert.java,0.02653631284916201
AbstractObjectAssert.java,AbstractArrayAssert.java,0.02653631284916201
AbstractArrayAssert.java,AbstractOffsetDateTimeAssert.java,0.024752475247524754
AbstractOffsetDateTimeAssert.java,AbstractArrayAssert.java,0.024752475247524754
AbstractArrayAssert.java,AbstractOffsetTimeAssert.java,0.02510460251046025
AbstractOffsetTimeAssert.java,AbstractArrayAssert.java,0.02510460251046025
AbstractArrayAssert.java,AbstractOptionalAssert.java,0.039832285115303984
AbstractOptionalAssert.java,AbstractArrayAssert.java,0.039832285115303984
AbstractArrayAssert.java,AbstractOptionalDoubleAssert.java,0.08866995073891626
AbstractOptionalDoubleAssert.java,AbstractArrayAssert.java,0.08866995073891626
AbstractArrayAssert.java,AbstractOptionalIntAssert.java,0.10975609756097561
AbstractOptionalIntAssert.java,AbstractArrayAssert.java,0.10975609756097561
AbstractArrayAssert.java,AbstractOptionalLongAssert.java,0.11392405063291139
