From,To,Overlap
BinaryRepresentation.java,BinaryRepresentation.java,0.0
BinaryRepresentation.java,BinaryRepresentation.java,0.0
BinaryRepresentation.java,HexadecimalRepresentation.java,0.28342245989304815
HexadecimalRepresentation.java,BinaryRepresentation.java,0.28342245989304815
BinaryRepresentation.java,NumberGrouping.java,0.18666666666666668
NumberGrouping.java,BinaryRepresentation.java,0.18666666666666668
BinaryRepresentation.java,PredicateDescription.java,0.18867924528301888
PredicateDescription.java,BinaryRepresentation.java,0.18867924528301888
BinaryRepresentation.java,Representation.java,0.12738853503184713
Representation.java,BinaryRepresentation.java,0.12738853503184713
BinaryRepresentation.java,StandardRepresentation.java,0.07540983606557378
StandardRepresentation.java,BinaryRepresentation.java,0.07540983606557378
BinaryRepresentation.java,UnicodeRepresentation.java,0.24516129032258063
UnicodeRepresentation.java,BinaryRepresentation.java,0.24516129032258063
HexadecimalRepresentation.java,HexadecimalRepresentation.java,0.0
HexadecimalRepresentation.java,HexadecimalRepresentation.java,0.0
HexadecimalRepresentation.java,NumberGrouping.java,0.18543046357615894
NumberGrouping.java,HexadecimalRepresentation.java,0.18543046357615894
HexadecimalRepresentation.java,PredicateDescription.java,0.1875
PredicateDescription.java,HexadecimalRepresentation.java,0.1875
HexadecimalRepresentation.java,Representation.java,0.12658227848101267
Representation.java,HexadecimalRepresentation.java,0.12658227848101267
HexadecimalRepresentation.java,StandardRepresentation.java,0.07037643207855974
StandardRepresentation.java,HexadecimalRepresentation.java,0.07037643207855974
HexadecimalRepresentation.java,UnicodeRepresentation.java,0.23076923076923078
UnicodeRepresentation.java,HexadecimalRepresentation.java,0.23076923076923078
NumberGrouping.java,NumberGrouping.java,0.0
NumberGrouping.java,NumberGrouping.java,0.0
NumberGrouping.java,PredicateDescription.java,0.17073170731707318
PredicateDescription.java,NumberGrouping.java,0.17073170731707318
NumberGrouping.java,Representation.java,0.1322314049586777
Representation.java,NumberGrouping.java,0.1322314049586777
NumberGrouping.java,StandardRepresentation.java,0.04006968641114982
StandardRepresentation.java,NumberGrouping.java,0.04006968641114982
NumberGrouping.java,UnicodeRepresentation.java,0.19327731092436976
UnicodeRepresentation.java,NumberGrouping.java,0.19327731092436976
PredicateDescription.java,PredicateDescription.java,0.0
PredicateDescription.java,PredicateDescription.java,0.0
PredicateDescription.java,Representation.java,0.14615384615384616
Representation.java,PredicateDescription.java,0.14615384615384616
PredicateDescription.java,StandardRepresentation.java,0.044596912521440824
StandardRepresentation.java,PredicateDescription.java,0.044596912521440824
PredicateDescription.java,UnicodeRepresentation.java,0.203125
UnicodeRepresentation.java,PredicateDescription.java,0.203125
Representation.java,Representation.java,0.0
Representation.java,Representation.java,0.0
Representation.java,StandardRepresentation.java,0.043029259896729774
StandardRepresentation.java,Representation.java,0.043029259896729774
Representation.java,UnicodeRepresentation.java,0.19047619047619047
UnicodeRepresentation.java,Representation.java,0.19047619047619047
StandardRepresentation.java,StandardRepresentation.java,0.0
StandardRepresentation.java,StandardRepresentation.java,0.0
StandardRepresentation.java,UnicodeRepresentation.java,0.17962003454231434
UnicodeRepresentation.java,StandardRepresentation.java,0.17962003454231434
UnicodeRepresentation.java,UnicodeRepresentation.java,0.0
UnicodeRepresentation.java,UnicodeRepresentation.java,0.0
