From,To,Overlap
AbstractComparableNumberComparator.java,AbstractComparableNumberComparator.java,0.0
AbstractComparableNumberComparator.java,AbstractComparableNumberComparator.java,0.0
AbstractComparableNumberComparator.java,Arrays.java,0.0707070707070707
Arrays.java,AbstractComparableNumberComparator.java,0.0707070707070707
AbstractComparableNumberComparator.java,ArrayWrapperList.java,0.1388888888888889
ArrayWrapperList.java,AbstractComparableNumberComparator.java,0.1388888888888889
AbstractComparableNumberComparator.java,BigDecimalComparator.java,0.24528301886792453
BigDecimalComparator.java,AbstractComparableNumberComparator.java,0.24528301886792453
AbstractComparableNumberComparator.java,BigIntegerComparator.java,0.2549019607843137
BigIntegerComparator.java,AbstractComparableNumberComparator.java,0.2549019607843137
AbstractComparableNumberComparator.java,CheckReturnValue.java,0.24074074074074073
CheckReturnValue.java,AbstractComparableNumberComparator.java,0.24074074074074073
AbstractComparableNumberComparator.java,Closeables.java,0.2
Closeables.java,AbstractComparableNumberComparator.java,0.2
AbstractComparableNumberComparator.java,Compatibility.java,0.25925925925925924
Compatibility.java,AbstractComparableNumberComparator.java,0.25925925925925924
AbstractComparableNumberComparator.java,DateUtil.java,0.0332541567695962
DateUtil.java,AbstractComparableNumberComparator.java,0.0332541567695962
AbstractComparableNumberComparator.java,ChangeDelta.java,0.15555555555555556
ChangeDelta.java,AbstractComparableNumberComparator.java,0.15555555555555556
AbstractComparableNumberComparator.java,Chunk.java,0.09271523178807947
Chunk.java,AbstractComparableNumberComparator.java,0.09271523178807947
AbstractComparableNumberComparator.java,DeleteDelta.java,0.17073170731707318
DeleteDelta.java,AbstractComparableNumberComparator.java,0.17073170731707318
AbstractComparableNumberComparator.java,Delta.java,0.08588957055214724
Delta.java,AbstractComparableNumberComparator.java,0.08588957055214724
AbstractComparableNumberComparator.java,DeltaComparator.java,0.22033898305084745
DeltaComparator.java,AbstractComparableNumberComparator.java,0.22033898305084745
AbstractComparableNumberComparator.java,DiffAlgorithm.java,0.21428571428571427
DiffAlgorithm.java,AbstractComparableNumberComparator.java,0.21428571428571427
AbstractComparableNumberComparator.java,DiffUtils.java,0.03513513513513514
DiffUtils.java,AbstractComparableNumberComparator.java,0.03513513513513514
AbstractComparableNumberComparator.java,InsertDelta.java,0.16279069767441862
InsertDelta.java,AbstractComparableNumberComparator.java,0.16279069767441862
AbstractComparableNumberComparator.java,DiffNode.java,0.16883116883116883
DiffNode.java,AbstractComparableNumberComparator.java,0.16883116883116883
AbstractComparableNumberComparator.java,Equalizer.java,0.23529411764705882
Equalizer.java,AbstractComparableNumberComparator.java,0.23529411764705882
AbstractComparableNumberComparator.java,MyersDiff.java,0.05855855855855856
MyersDiff.java,AbstractComparableNumberComparator.java,0.05855855855855856
AbstractComparableNumberComparator.java,PathNode.java,0.11206896551724138
PathNode.java,AbstractComparableNumberComparator.java,0.11206896551724138
AbstractComparableNumberComparator.java,Snake.java,0.18840579710144928
Snake.java,AbstractComparableNumberComparator.java,0.18840579710144928
AbstractComparableNumberComparator.java,Patch.java,0.1566265060240964
Patch.java,AbstractComparableNumberComparator.java,0.1566265060240964
AbstractComparableNumberComparator.java,DoubleComparator.java,0.15789473684210525
DoubleComparator.java,AbstractComparableNumberComparator.java,0.15789473684210525
AbstractComparableNumberComparator.java,FailureMessages.java,0.2857142857142857
FailureMessages.java,AbstractComparableNumberComparator.java,0.2857142857142857
AbstractComparableNumberComparator.java,Files.java,0.03954802259887006
Files.java,AbstractComparableNumberComparator.java,0.03954802259887006
AbstractComparableNumberComparator.java,FloatComparator.java,0.16666666666666666
FloatComparator.java,AbstractComparableNumberComparator.java,0.16666666666666666
AbstractComparableNumberComparator.java,Hexadecimals.java,0.27450980392156865
Hexadecimals.java,AbstractComparableNumberComparator.java,0.27450980392156865
AbstractComparableNumberComparator.java,ClassUtils.java,0.12380952380952381
ClassUtils.java,AbstractComparableNumberComparator.java,0.12380952380952381
AbstractComparableNumberComparator.java,FieldSupport.java,0.05531914893617021
FieldSupport.java,AbstractComparableNumberComparator.java,0.05531914893617021
AbstractComparableNumberComparator.java,FieldUtils.java,0.07784431137724551
FieldUtils.java,AbstractComparableNumberComparator.java,0.07784431137724551
AbstractComparableNumberComparator.java,Introspection.java,0.10569105691056911
Introspection.java,AbstractComparableNumberComparator.java,0.10569105691056911
AbstractComparableNumberComparator.java,IntrospectionError.java,0.21311475409836064
IntrospectionError.java,AbstractComparableNumberComparator.java,0.21311475409836064
AbstractComparableNumberComparator.java,MemberUtils.java,0.12631578947368421
MemberUtils.java,AbstractComparableNumberComparator.java,0.12631578947368421
AbstractComparableNumberComparator.java,MethodSupport.java,0.12037037037037036
MethodSupport.java,AbstractComparableNumberComparator.java,0.12037037037037036
AbstractComparableNumberComparator.java,PropertyOrFieldSupport.java,0.11016949152542373
PropertyOrFieldSupport.java,AbstractComparableNumberComparator.java,0.11016949152542373
AbstractComparableNumberComparator.java,PropertySupport.java,0.05439330543933055
PropertySupport.java,AbstractComparableNumberComparator.java,0.05439330543933055
AbstractComparableNumberComparator.java,IterableUtil.java,0.09859154929577464
IterableUtil.java,AbstractComparableNumberComparator.java,0.09859154929577464
AbstractComparableNumberComparator.java,Lists.java,0.11570247933884298
Lists.java,AbstractComparableNumberComparator.java,0.11570247933884298
AbstractComparableNumberComparator.java,Maps.java,0.16091954022988506
Maps.java,AbstractComparableNumberComparator.java,0.16091954022988506
AbstractComparableNumberComparator.java,NullSafeComparator.java,0.30612244897959184
NullSafeComparator.java,AbstractComparableNumberComparator.java,0.30612244897959184
AbstractComparableNumberComparator.java,Objects.java,0.1044776119402985
Objects.java,AbstractComparableNumberComparator.java,0.1044776119402985
AbstractComparableNumberComparator.java,Preconditions.java,0.08
Preconditions.java,AbstractComparableNumberComparator.java,0.08
AbstractComparableNumberComparator.java,Sets.java,0.1076923076923077
Sets.java,AbstractComparableNumberComparator.java,0.1076923076923077
AbstractComparableNumberComparator.java,Strings.java,0.05555555555555555
Strings.java,AbstractComparableNumberComparator.java,0.05555555555555555
AbstractComparableNumberComparator.java,TextFileWriter.java,0.208955223880597
TextFileWriter.java,AbstractComparableNumberComparator.java,0.208955223880597
AbstractComparableNumberComparator.java,Throwables.java,0.08187134502923976
Throwables.java,AbstractComparableNumberComparator.java,0.08187134502923976
AbstractComparableNumberComparator.java,URLs.java,0.09210526315789473
URLs.java,AbstractComparableNumberComparator.java,0.09210526315789473
AbstractComparableNumberComparator.java,VisibleForTesting.java,0.3170731707317073
VisibleForTesting.java,AbstractComparableNumberComparator.java,0.3170731707317073
AbstractComparableNumberComparator.java,XmlStringPrettyFormatter.java,0.13
XmlStringPrettyFormatter.java,AbstractComparableNumberComparator.java,0.13
Arrays.java,Arrays.java,0.0
Arrays.java,Arrays.java,0.0
Arrays.java,ArrayWrapperList.java,0.18045112781954886
ArrayWrapperList.java,Arrays.java,0.18045112781954886
Arrays.java,BigDecimalComparator.java,0.14218009478672985
BigDecimalComparator.java,Arrays.java,0.14218009478672985
Arrays.java,BigIntegerComparator.java,0.1339712918660287
BigIntegerComparator.java,Arrays.java,0.1339712918660287
Arrays.java,CheckReturnValue.java,0.07075471698113207
CheckReturnValue.java,Arrays.java,0.07075471698113207
Arrays.java,Closeables.java,0.2412280701754386
Closeables.java,Arrays.java,0.2412280701754386
Arrays.java,Compatibility.java,0.15566037735849056
Compatibility.java,Arrays.java,0.15566037735849056
Arrays.java,DateUtil.java,0.08117443868739206
DateUtil.java,Arrays.java,0.08117443868739206
Arrays.java,ChangeDelta.java,0.18951612903225806
ChangeDelta.java,Arrays.java,0.18951612903225806
Arrays.java,Chunk.java,0.18122977346278318
Chunk.java,Arrays.java,0.18122977346278318
Arrays.java,DeleteDelta.java,0.19583333333333333
DeleteDelta.java,Arrays.java,0.19583333333333333
Arrays.java,Delta.java,0.16199376947040497
Delta.java,Arrays.java,0.16199376947040497
Arrays.java,DeltaComparator.java,0.14746543778801843
DeltaComparator.java,Arrays.java,0.14746543778801843
Arrays.java,DiffAlgorithm.java,0.17289719626168223
DiffAlgorithm.java,Arrays.java,0.17289719626168223
Arrays.java,DiffUtils.java,0.10606060606060606
DiffUtils.java,Arrays.java,0.10606060606060606
Arrays.java,InsertDelta.java,0.19262295081967212
InsertDelta.java,Arrays.java,0.19262295081967212
Arrays.java,DiffNode.java,0.1702127659574468
DiffNode.java,Arrays.java,0.1702127659574468
Arrays.java,Equalizer.java,0.1339712918660287
Equalizer.java,Arrays.java,0.1339712918660287
Arrays.java,MyersDiff.java,0.12368421052631579
MyersDiff.java,Arrays.java,0.12368421052631579
Arrays.java,PathNode.java,0.16423357664233576
PathNode.java,Arrays.java,0.16423357664233576
Arrays.java,Snake.java,0.18061674008810572
Snake.java,Arrays.java,0.18061674008810572
Arrays.java,Patch.java,0.1991701244813278
Patch.java,Arrays.java,0.1991701244813278
Arrays.java,DoubleComparator.java,0.1857707509881423
DoubleComparator.java,Arrays.java,0.1857707509881423
Arrays.java,FailureMessages.java,0.14009661835748793
FailureMessages.java,Arrays.java,0.14009661835748793
Arrays.java,Files.java,0.115234375
Files.java,Arrays.java,0.115234375
Arrays.java,FloatComparator.java,0.18548387096774194
FloatComparator.java,Arrays.java,0.18548387096774194
Arrays.java,Hexadecimals.java,0.1339712918660287
Hexadecimals.java,Arrays.java,0.1339712918660287
Arrays.java,ClassUtils.java,0.20912547528517111
ClassUtils.java,Arrays.java,0.20912547528517111
Arrays.java,FieldSupport.java,0.1450381679389313
FieldSupport.java,Arrays.java,0.1450381679389313
Arrays.java,FieldUtils.java,0.16615384615384615
FieldUtils.java,Arrays.java,0.16615384615384615
Arrays.java,Introspection.java,0.19572953736654805
Introspection.java,Arrays.java,0.19572953736654805
Arrays.java,IntrospectionError.java,0.1917808219178082
IntrospectionError.java,Arrays.java,0.1917808219178082
Arrays.java,MemberUtils.java,0.07905138339920949
MemberUtils.java,Arrays.java,0.07905138339920949
Arrays.java,MethodSupport.java,0.17293233082706766
MethodSupport.java,Arrays.java,0.17293233082706766
Arrays.java,PropertyOrFieldSupport.java,0.11594202898550725
PropertyOrFieldSupport.java,Arrays.java,0.11594202898550725
Arrays.java,PropertySupport.java,0.1561712846347607
PropertySupport.java,Arrays.java,0.1561712846347607
Arrays.java,IterableUtil.java,0.20666666666666667
IterableUtil.java,Arrays.java,0.20666666666666667
Arrays.java,Lists.java,0.21505376344086022
Lists.java,Arrays.java,0.21505376344086022
Arrays.java,Maps.java,0.20816326530612245
Maps.java,Arrays.java,0.20816326530612245
Arrays.java,NullSafeComparator.java,0.13526570048309178
NullSafeComparator.java,Arrays.java,0.13526570048309178
Arrays.java,Objects.java,0.17465753424657535
Objects.java,Arrays.java,0.17465753424657535
Arrays.java,Preconditions.java,0.1831831831831832
Preconditions.java,Arrays.java,0.1831831831831832
Arrays.java,Sets.java,0.19444444444444445
Sets.java,Arrays.java,0.19444444444444445
Arrays.java,Strings.java,0.14634146341463414
Strings.java,Arrays.java,0.14634146341463414
Arrays.java,TextFileWriter.java,0.14666666666666667
TextFileWriter.java,Arrays.java,0.14666666666666667
Arrays.java,Throwables.java,0.17933130699088146
Throwables.java,Arrays.java,0.17933130699088146
Arrays.java,URLs.java,0.15483870967741936
URLs.java,Arrays.java,0.15483870967741936
Arrays.java,VisibleForTesting.java,0.08542713567839195
VisibleForTesting.java,Arrays.java,0.08542713567839195
Arrays.java,XmlStringPrettyFormatter.java,0.12403100775193798
XmlStringPrettyFormatter.java,Arrays.java,0.12403100775193798
ArrayWrapperList.java,ArrayWrapperList.java,0.0
ArrayWrapperList.java,ArrayWrapperList.java,0.0
ArrayWrapperList.java,BigDecimalComparator.java,0.19834710743801653
BigDecimalComparator.java,ArrayWrapperList.java,0.19834710743801653
ArrayWrapperList.java,BigIntegerComparator.java,0.20168067226890757
BigIntegerComparator.java,ArrayWrapperList.java,0.20168067226890757
ArrayWrapperList.java,CheckReturnValue.java,0.13114754098360656
CheckReturnValue.java,ArrayWrapperList.java,0.13114754098360656
ArrayWrapperList.java,Closeables.java,0.2463768115942029
Closeables.java,ArrayWrapperList.java,0.2463768115942029
ArrayWrapperList.java,Compatibility.java,0.19672131147540983
Compatibility.java,ArrayWrapperList.java,0.19672131147540983
ArrayWrapperList.java,DateUtil.java,0.0736196319018405
DateUtil.java,ArrayWrapperList.java,0.0736196319018405
ArrayWrapperList.java,ChangeDelta.java,0.22151898734177214
ChangeDelta.java,ArrayWrapperList.java,0.22151898734177214
ArrayWrapperList.java,Chunk.java,0.1552511415525114
Chunk.java,ArrayWrapperList.java,0.1552511415525114
ArrayWrapperList.java,DeleteDelta.java,0.24666666666666667
DeleteDelta.java,ArrayWrapperList.java,0.24666666666666667
ArrayWrapperList.java,Delta.java,0.1471861471861472
Delta.java,ArrayWrapperList.java,0.1471861471861472
ArrayWrapperList.java,DeltaComparator.java,0.18110236220472442
DeltaComparator.java,ArrayWrapperList.java,0.18110236220472442
ArrayWrapperList.java,DiffAlgorithm.java,0.18548387096774194
DiffAlgorithm.java,ArrayWrapperList.java,0.18548387096774194
ArrayWrapperList.java,DiffUtils.java,0.0776255707762557
DiffUtils.java,ArrayWrapperList.java,0.0776255707762557
ArrayWrapperList.java,InsertDelta.java,0.24025974025974026
InsertDelta.java,ArrayWrapperList.java,0.24025974025974026
ArrayWrapperList.java,DiffNode.java,0.22758620689655173
DiffNode.java,ArrayWrapperList.java,0.22758620689655173
ArrayWrapperList.java,Equalizer.java,0.19327731092436976
Equalizer.java,ArrayWrapperList.java,0.19327731092436976
ArrayWrapperList.java,MyersDiff.java,0.12413793103448276
MyersDiff.java,ArrayWrapperList.java,0.12413793103448276
ArrayWrapperList.java,PathNode.java,0.18478260869565216
PathNode.java,ArrayWrapperList.java,0.18478260869565216
ArrayWrapperList.java,Snake.java,0.24087591240875914
Snake.java,ArrayWrapperList.java,0.24087591240875914
ArrayWrapperList.java,Patch.java,0.2052980132450331
Patch.java,ArrayWrapperList.java,0.2052980132450331
ArrayWrapperList.java,DoubleComparator.java,0.2085889570552147
DoubleComparator.java,ArrayWrapperList.java,0.2085889570552147
ArrayWrapperList.java,FailureMessages.java,0.19658119658119658
FailureMessages.java,ArrayWrapperList.java,0.19658119658119658
ArrayWrapperList.java,Files.java,0.08530805687203792
Files.java,ArrayWrapperList.java,0.08530805687203792
