Class Name,LOC (from Methods CFG),Number of Methods, Weighed Method Count
org/assertj/core/api/AbstractIterableAssert,2883,197,212
org/assertj/core/api/AtomicReferenceArrayAssert,2096,132,140
org/assertj/core/api/Assertions,1114,132,132
org/assertj/core/api/AbstractObjectArrayAssert,2116,131,138
org/assertj/core/api/Java6Assertions,1064,126,126
org/assertj/core/api/AbstractMapAssert,1220,105,105
org/assertj/core/api/AbstractDateAssert,1684,91,102
org/assertj/core/api/AbstractAssert,1159,83,90
org/assertj/core/api/AbstractListAssert,810,81,81
org/assertj/core/internal/Strings,2101,66,148
org/assertj/core/internal/Arrays,2690,65,180
org/assertj/core/api/BDDAssertions,451,64,64
org/assertj/core/internal/Iterables,2379,63,157
org/assertj/core/api/Java6BDDAssertions,468,63,63
org/assertj/core/internal/Dates,1632,58,112
org/assertj/core/api/AbstractCharSequenceAssert,954,58,58
org/assertj/core/api/Java6AbstractBDDSoftAssertions,630,57,57
org/assertj/core/api/Java6AbstractStandardSoftAssertions,630,57,57
org/assertj/core/api/AbstractFloatAssert,907,56,61
org/assertj/core/api/AbstractDoubleAssert,906,56,61
org/assertj/core/internal/Objects,1852,55,117
org/assertj/core/api/IterableAssert,882,54,73
org/assertj/core/internal/ObjectArrays,801,47,52
org/assertj/core/api/AbstractDoubleArrayAssert,695,43,43
org/assertj/core/api/AbstractFloatArrayAssert,695,43,43
org/assertj/core/api/AbstractByteAssert,660,43,43
org/assertj/core/api/AbstractIntegerAssert,660,43,43
org/assertj/core/api/AbstractLongAssert,660,43,43
org/assertj/core/api/AbstractShortAssert,660,43,43
org/assertj/core/api/AbstractByteArrayAssert,709,42,42
org/assertj/core/presentation/StandardRepresentation,1452,41,105
org/assertj/core/api/ObjectEnumerableAssert,82,41,41
org/assertj/core/internal/Maps,1621,39,105
org/assertj/core/internal/ByteArrays,607,38,40
org/assertj/core/api/AbstractBigIntegerAssert,494,36,36
org/assertj/core/api/AbstractBigDecimalAssert,492,36,36
org/assertj/core/internal/Paths,1097,33,68
org/assertj/core/internal/Classes,1382,32,87
org/assertj/core/api/AbstractCharArrayAssert,487,31,31
org/assertj/core/internal/ErrorMessages,203,31,31
org/assertj/core/api/AbstractIntArrayAssert,474,30,30
org/assertj/core/api/AbstractLongArrayAssert,474,30,30
org/assertj/core/api/AbstractShortArrayAssert,474,30,30
org/assertj/core/api/AbstractBooleanArrayAssert,460,30,30
org/assertj/core/api/AbstractPathAssert,545,29,29
org/assertj/core/api/AtomicIntegerArrayAssert,464,29,30
org/assertj/core/api/AtomicLongArrayAssert,464,29,30
org/assertj/core/util/DateUtil,744,28,64
