ClassName,LOC (from Methods CFG),Number of Methods, Weighed Method Count,AttributeCount,FieldCount,DepthOfInheritance
org/assertj/core/api/AbstractArrayAssert,11.0,1.0,1.0,0.0,0.0,3.0
org/assertj/core/api/AbstractAssert,1297.0,91.0,99.0,0.0,7.0,1.0
org/assertj/core/api/AbstractAtomicFieldUpdaterAssert,98.0,5.0,8.0,0.0,1.0,3.0
org/assertj/core/api/AbstractAtomicReferenceAssert,47.0,3.0,4.0,0.0,0.0,3.0
org/assertj/core/api/AbstractBDDSoftAssertions,238.0,22.0,22.0,0.0,0.0,3.0
org/assertj/core/api/AbstractBigDecimalAssert,492.0,36.0,36.0,0.0,1.0,4.0
org/assertj/core/api/AbstractBigIntegerAssert,494.0,36.0,36.0,0.0,1.0,4.0
org/assertj/core/api/AbstractBooleanArrayAssert,479.0,31.0,31.0,0.0,1.0,4.0
org/assertj/core/api/AbstractBooleanAssert,88.0,7.0,7.0,0.0,1.0,2.0
org/assertj/core/api/AbstractByteArrayAssert,750.0,44.0,44.0,0.0,1.0,4.0
org/assertj/core/api/AbstractByteAssert,660.0,43.0,43.0,0.0,1.0,4.0
org/assertj/core/api/AbstractCharacterAssert,244.0,14.0,14.0,0.0,1.0,4.0
org/assertj/core/api/AbstractCharArrayAssert,506.0,32.0,32.0,0.0,1.0,4.0
org/assertj/core/api/AbstractCharSequenceAssert,954.0,58.0,58.0,0.0,1.0,2.0
org/assertj/core/api/AbstractClassAssert,363.0,20.0,20.0,0.0,1.0,2.0
org/assertj/core/api/AbstractComparableAssert,339.0,25.0,25.0,0.0,1.0,3.0
org/assertj/core/api/AbstractCompletableFutureAssert,434.0,16.0,33.0,0.0,0.0,2.0
org/assertj/core/api/AbstractDateAssert$1,24.0,3.0,3.0,0.0,0.0,2.0
org/assertj/core/api/AbstractDateAssert,1684.0,91.0,102.0,0.0,5.0,2.0
org/assertj/core/api/AbstractDoubleArrayAssert,714.0,44.0,44.0,0.0,2.0,4.0
org/assertj/core/api/AbstractDoubleAssert,906.0,56.0,61.0,0.0,3.0,4.0
org/assertj/core/api/AbstractEnumerableAssert,74.0,7.0,7.0,0.0,0.0,2.0
org/assertj/core/api/AbstractFileAssert,399.0,21.0,22.0,0.0,2.0,2.0
org/assertj/core/api/AbstractFloatArrayAssert,714.0,44.0,44.0,0.0,2.0,4.0
org/assertj/core/api/AbstractFloatAssert,907.0,56.0,61.0,0.0,3.0,4.0
org/assertj/core/api/AbstractFutureAssert,88.0,5.0,5.0,0.0,1.0,2.0
org/assertj/core/api/AbstractInputStreamAssert,54.0,3.0,3.0,0.0,1.0,2.0
org/assertj/core/api/AbstractInstantAssert,472.0,24.0,32.0,0.0,0.0,3.0
org/assertj/core/api/AbstractIntArrayAssert,493.0,31.0,31.0,0.0,1.0,4.0
org/assertj/core/api/AbstractIntegerAssert,660.0,43.0,43.0,0.0,1.0,4.0
org/assertj/core/api/AbstractIterableAssert,3468.0,233.0,250.0,0.0,5.0,2.0
org/assertj/core/api/AbstractIterableSizeAssert,13.0,2.0,2.0,0.0,0.0,5.0
org/assertj/core/api/AbstractListAssert,810.0,81.0,81.0,0.0,1.0,3.0
org/assertj/core/api/AbstractLocalDateAssert,493.0,24.0,33.0,0.0,1.0,3.0
org/assertj/core/api/AbstractLocalDateTimeAssert,731.0,33.0,56.0,0.0,1.0,3.0
org/assertj/core/api/AbstractLocalTimeAssert,637.0,29.0,45.0,0.0,1.0,3.0
org/assertj/core/api/AbstractLongArrayAssert,493.0,31.0,31.0,0.0,1.0,4.0
org/assertj/core/api/AbstractLongAssert,660.0,43.0,43.0,0.0,1.0,4.0
org/assertj/core/api/AbstractMapAssert,1240.0,106.0,106.0,0.0,1.0,3.0
org/assertj/core/api/AbstractMapSizeAssert,13.0,2.0,2.0,0.0,0.0,5.0
org/assertj/core/api/AbstractObjectArrayAssert,2604.0,162.0,171.0,0.0,5.0,2.0
org/assertj/core/api/AbstractObjectAssert,439.0,21.0,22.0,0.0,4.0,2.0
org/assertj/core/api/AbstractOffsetDateTimeAssert,832.0,36.0,64.0,0.0,1.0,3.0
org/assertj/core/api/AbstractOffsetTimeAssert,766.0,34.0,57.0,0.0,1.0,3.0
org/assertj/core/api/AbstractOptionalAssert,375.0,19.0,27.0,0.0,1.0,2.0
org/assertj/core/api/AbstractOptionalDoubleAssert,192.0,7.0,13.0,0.0,1.0,2.0
org/assertj/core/api/AbstractOptionalIntAssert,125.0,6.0,10.0,0.0,1.0,2.0
org/assertj/core/api/AbstractOptionalLongAssert,121.0,6.0,10.0,0.0,0.0,2.0
org/assertj/core/api/AbstractPathAssert,545.0,29.0,29.0,0.0,2.0,4.0
org/assertj/core/api/AbstractPredicateAssert,172.0,5.0,9.0,0.0,1.0,2.0
org/assertj/core/api/AbstractPredicateLikeAssert,129.0,5.0,7.0,0.0,2.0,2.0
org/assertj/core/api/AbstractShortArrayAssert,493.0,31.0,31.0,0.0,1.0,4.0
org/assertj/core/api/AbstractShortAssert,660.0,43.0,43.0,0.0,1.0,4.0
org/assertj/core/api/AbstractSoftAssertions,383.0,15.0,29.0,0.0,1.0,1.0
org/assertj/core/api/AbstractStandardSoftAssertions,238.0,22.0,22.0,0.0,0.0,3.0
org/assertj/core/api/AbstractTemporalAssert,111.0,5.0,6.0,0.0,1.0,2.0
