Class Name,LOC (from Methods CFG),Number of Methods, Weighed Method Count
org/assertj/core/api/AbstractIterableAssert,3468,233,250
org/assertj/core/api/AbstractObjectArrayAssert,2604,162,171
org/assertj/core/api/Assertions,1232,162,162
org/assertj/core/api/WithAssertions,1185,161,161
org/assertj/core/api/AtomicReferenceArrayAssert,2453,157,166
org/assertj/core/api/Java6Assertions,1072,127,127
org/assertj/core/api/AbstractMapAssert,1240,106,106
org/assertj/core/api/AssertionsForClassTypes,880,104,104
org/assertj/core/api/AbstractDateAssert,1684,91,102
org/assertj/core/api/AbstractAssert,1297,91,99
org/assertj/core/api/Assumptions,1047,86,92
org/assertj/core/api/BDDAssertions,599,85,85
org/assertj/core/api/AbstractListAssert,810,81,81
org/assertj/core/api/WithAssumptions,548,78,78
org/assertj/core/internal/Iterables,2776,74,179
org/assertj/core/internal/Arrays,2858,69,190
org/assertj/core/internal/Strings,2101,66,148
org/assertj/core/api/Java6BDDAssertions,476,64,64
org/assertj/core/internal/Dates,1632,58,112
org/assertj/core/api/AbstractCharSequenceAssert,954,58,58
org/assertj/core/api/Java6AbstractBDDSoftAssertions,639,58,58
org/assertj/core/api/Java6AbstractStandardSoftAssertions,639,58,58
org/assertj/core/internal/Objects,1885,56,119
org/assertj/core/api/AbstractFloatAssert,907,56,61
org/assertj/core/api/AbstractDoubleAssert,906,56,61
org/assertj/core/api/ListAssert,914,55,78
org/assertj/core/api/IterableAssert,885,54,73
org/assertj/core/presentation/StandardRepresentation,1864,53,131
org/assertj/core/internal/ObjectArrays,970,52,62
org/assertj/core/api/ObjectEnumerableAssert,102,51,51
org/assertj/core/api/AbstractByteArrayAssert,750,44,44
org/assertj/core/api/AbstractDoubleArrayAssert,714,44,44
org/assertj/core/api/AbstractFloatArrayAssert,714,44,44
org/assertj/core/api/AbstractByteAssert,660,43,43
org/assertj/core/api/AbstractIntegerAssert,660,43,43
org/assertj/core/api/AbstractLongAssert,660,43,43
org/assertj/core/api/AbstractShortAssert,660,43,43
org/assertj/core/internal/Maps,1637,40,105
org/assertj/core/internal/ByteArrays,632,40,42
org/assertj/core/api/AbstractZonedDateTimeAssert,883,39,64
org/assertj/core/api/AbstractOffsetDateTimeAssert,832,36,64
org/assertj/core/api/AbstractBigIntegerAssert,494,36,36
org/assertj/core/api/AbstractBigDecimalAssert,492,36,36
org/assertj/core/api/AbstractOffsetTimeAssert,766,34,57
org/assertj/core/internal/Paths,1097,33,68
org/assertj/core/api/AbstractLocalDateTimeAssert,731,33,56
org/assertj/core/internal/Classes,1382,32,87
org/assertj/core/api/AbstractCharArrayAssert,506,32,32
org/assertj/core/internal/ErrorMessages,209,32,32
org/assertj/core/api/AbstractIntArrayAssert,493,31,31
org/assertj/core/api/AbstractLongArrayAssert,493,31,31
