Java File Name,Lines,Comments,Lines of code,Updated comments,Updated LOC,% of comments
./java/org/assertj/core/api/AbstractIterableAssert.java,2648,93,2555,1688,960,63.75
./java/org/assertj/core/api/Assertions.java,2773,164,2609,1903,870,68.63
./java/org/assertj/core/api/WithAssertions.java,2683,163,2520,1891,792,70.48
./java/org/assertj/core/internal/Arrays.java,748,7,741,43,705,5.75
./java/org/assertj/core/internal/Iterables.java,1142,43,1099,442,700,38.70
./java/org/assertj/core/api/AbstractObjectArrayAssert.java,2749,90,2659,2065,684,75.12
./java/org/assertj/core/api/AtomicReferenceArrayAssert.java,2842,87,2755,2174,668,76.50
./java/org/assertj/core/api/Java6Assertions.java,2225,128,2097,1558,667,70.02
./java/org/assertj/core/internal/DeepDifference.java,712,12,700,155,557,21.77
./java/org/assertj/core/api/AssertionsForClassTypes.java,1693,106,1587,1142,551,67.45
./java/org/assertj/core/api/Assumptions.java,1151,80,1071,607,544,52.74
./java/org/assertj/core/internal/Objects.java,865,34,831,341,524,39.42
./java/org/assertj/core/internal/Strings.java,886,40,846,362,524,40.86
./java/org/assertj/core/api/AbstractDateAssert.java,2606,86,2520,2093,513,80.31
./java/org/assertj/core/api/BDDAssertions.java,1302,87,1215,817,485,62.75
./java/org/assertj/core/presentation/StandardRepresentation.java,517,9,508,67,450,12.96
./java/org/assertj/core/api/WithAssumptions.java,1022,80,942,607,415,59.39
./java/org/assertj/core/api/AbstractAssert.java,656,52,604,252,404,38.41
./java/org/assertj/core/internal/Dates.java,830,52,778,429,401,51.69
./java/org/assertj/core/internal/Maps.java,707,27,680,307,400,43.42
./java/org/assertj/core/api/AbstractMapAssert.java,1195,35,1160,813,382,68.03
./java/org/assertj/core/api/Java6BDDAssertions.java,1016,66,950,653,363,64.27
./java/org/assertj/core/internal/Classes.java,519,22,497,185,334,35.65
./java/org/assertj/core/api/Java6AbstractBDDSoftAssertions.java,798,59,739,465,333,58.27
./java/org/assertj/core/api/Java6AbstractStandardSoftAssertions.java,787,59,728,455,332,57.81
./java/org/assertj/core/internal/Paths.java,312,2,310,15,297,4.81
./java/org/assertj/core/api/ListAssert.java,310,2,308,25,285,8.06
./java/org/assertj/core/api/AbstractCharSequenceAssert.java,1148,47,1101,868,280,75.61
./java/org/assertj/core/internal/ObjectArrays.java,669,39,630,400,269,59.79
./java/org/assertj/core/api/IterableAssert.java,295,2,293,27,268,9.15
./java/org/assertj/core/api/AbstractListAssert.java,354,8,346,89,265,25.14
./java/org/assertj/core/util/diff/DiffUtils.java,350,9,341,94,256,26.86
./java/org/assertj/core/api/AbstractZonedDateTimeAssert.java,829,34,795,585,244,70.57
./java/org/assertj/core/api/AbstractOffsetDateTimeAssert.java,778,35,743,551,227,70.82
./java/org/assertj/core/api/AbstractDoubleAssert.java,594,29,565,375,219,63.13
./java/org/assertj/core/api/AbstractFloatAssert.java,608,29,579,390,218,64.14
./java/org/assertj/core/api/AbstractDoubleArrayAssert.java,903,37,866,688,215,76.19
./java/org/assertj/core/api/AbstractFloatArrayAssert.java,901,37,864,686,215,76.14
./java/org/assertj/core/api/AbstractOffsetTimeAssert.java,687,29,658,474,213,69.00
./java/org/assertj/core/util/DateUtil.java,401,27,374,189,212,47.13
./java/org/assertj/core/api/AbstractByteArrayAssert.java,802,37,765,592,210,73.82
./java/org/assertj/core/util/Files.java,334,16,318,124,210,37.13
./java/org/assertj/core/api/AbstractLocalDateTimeAssert.java,700,32,668,495,205,70.71
./java/org/assertj/core/internal/Files.java,365,18,347,160,205,43.84
./java/org/assertj/core/internal/ByteArrays.java,487,31,456,302,185,62.01
./java/org/assertj/core/api/AbstractLocalTimeAssert.java,617,27,590,433,184,70.18
./java/org/assertj/core/api/AbstractPathAssert.java,1173,30,1143,999,174,85.17
./java/org/assertj/core/internal/Uris.java,183,1,182,12,171,6.56
./java/org/assertj/core/api/AbstractByteAssert.java,527,25,502,362,165,68.69
./java/org/assertj/core/api/AbstractIntegerAssert.java,470,25,445,305,165,64.89
./java/org/assertj/core/api/AbstractLongAssert.java,466,25,441,301,165,64.59
./java/org/assertj/core/api/AbstractShortAssert.java,455,25,430,290,165,63.74
./java/org/assertj/core/internal/Lists.java,277,10,267,112,165,40.43
./java/org/assertj/core/api/AtomicLongArrayAssert.java,605,25,580,444,161,73.39
./java/org/assertj/core/error/ShouldBeEqual.java,240,7,233,83,157,34.58
./java/org/assertj/core/api/AtomicIntegerArrayAssert.java,605,25,580,451,154,74.55
./java/org/assertj/core/internal/Throwables.java,285,14,271,132,153,46.32
./java/org/assertj/core/api/AbstractCharArrayAssert.java,483,25,458,332,151,68.74
./java/org/assertj/core/api/filter/Filters.java,385,16,369,237,148,61.56
./java/org/assertj/core/internal/Comparables.java,280,13,267,132,148,47.14
./java/org/assertj/core/api/AbstractLocalDateAssert.java,497,23,474,350,147,70.42
./java/org/assertj/core/api/AbstractIntArrayAssert.java,435,24,411,290,145,66.67
./java/org/assertj/core/api/AbstractLongArrayAssert.java,435,24,411,290,145,66.67
./java/org/assertj/core/api/AbstractShortArrayAssert.java,435,24,411,290,145,66.67
./java/org/assertj/core/api/AbstractInstantAssert.java,491,20,471,348,143,70.88
./java/org/assertj/core/api/AbstractBDDSoftAssertions.java,312,22,290,170,142,54.49
./java/org/assertj/core/api/AbstractStandardSoftAssertions.java,312,22,290,170,142,54.49
./java/org/assertj/core/util/diff/myers/MyersDiff.java,202,9,193,60,142,29.70
./java/org/assertj/core/api/AbstractBooleanArrayAssert.java,451,24,427,311,140,68.96
./java/org/assertj/core/api/AbstractObjectAssert.java,686,16,670,548,138,79.88
./java/org/assertj/core/api/AssertionsForInterfaceTypes.java,382,21,361,245,137,64.14
./java/org/assertj/core/internal/ComparatorBasedComparisonStrategy.java,190,7,183,54,136,28.42
./java/org/assertj/core/api/AbstractOptionalAssert.java,447,18,429,312,135,69.80
./java/org/assertj/core/internal/CommonValidations.java,147,2,145,16,131,10.88
./java/org/assertj/core/internal/CharArrays.java,348,22,326,218,130,62.64
./java/org/assertj/core/internal/DoubleArrays.java,347,22,325,217,130,62.54
./java/org/assertj/core/internal/ErrorMessages.java,147,2,145,17,130,11.56
./java/org/assertj/core/internal/FloatArrays.java,331,22,309,201,130,60.73
./java/org/assertj/core/internal/IntArrays.java,348,22,326,218,130,62.64
./java/org/assertj/core/internal/LongArrays.java,348,22,326,218,130,62.64
./java/org/assertj/core/internal/ShortArrays.java,347,22,325,217,130,62.54
./java/org/assertj/core/internal/StandardComparisonStrategy.java,189,9,180,59,130,31.22
./java/org/assertj/core/api/AbstractBigIntegerAssert.java,421,18,403,292,129,69.36
./java/org/assertj/core/api/AbstractCompletableFutureAssert.java,361,16,345,232,129,64.27
./java/org/assertj/core/api/AtomicIntegerAssert.java,386,14,372,257,129,66.58
./java/org/assertj/core/api/AtomicLongAssert.java,386,14,372,257,129,66.58
./java/org/assertj/core/internal/Urls.java,141,1,140,12,129,8.51
./java/org/assertj/core/api/AbstractBigDecimalAssert.java,401,18,383,273,128,68.08
./java/org/assertj/core/error/BasicErrorMessageFactory.java,165,8,157,38,127,23.03
./java/org/assertj/core/api/AbstractFileAssert.java,583,22,561,457,126,78.39
./java/org/assertj/core/internal/Failures.java,220,13,207,94,126,42.73
./java/org/assertj/core/util/introspection/FieldSupport.java,215,10,205,91,124,42.33
./java/org/assertj/core/internal/BooleanArrays.java,339,22,317,218,121,64.31
./java/org/assertj/core/internal/Numbers.java,254,15,239,137,117,53.94
./java/org/assertj/core/error/ShouldContainExactly.java,193,8,185,77,116,39.90
./java/org/assertj/core/util/introspection/PropertySupport.java,219,9,210,103,116,47.03
./java/org/assertj/core/api/ObjectEnumerableAssert.java,1260,53,1207,1148,112,91.11
./java/org/assertj/core/api/AbstractClassAssert.java,537,21,516,426,111,79.33
./java/org/assertj/core/util/Strings.java,232,17,215,122,110,52.59
./java/org/assertj/core/api/ErrorCollector.java,122,2,120,13,109,10.66
./java/org/assertj/core/api/AbstractSoftAssertions.java,176,8,168,68,108,38.64
./java/org/assertj/core/api/AbstractThrowableAssert.java,371,18,353,265,106,71.43
./java/org/assertj/core/api/AbstractUriAssert.java,416,20,396,310,106,74.52
./java/org/assertj/core/api/AbstractUrlAssert.java,420,20,400,314,106,74.76
./java/org/assertj/core/util/Arrays.java,178,10,168,75,103,42.13
./java/org/assertj/core/api/WritableAssertionInfo.java,156,11,145,60,96,38.46
./java/org/assertj/core/api/AbstractComparableAssert.java,126,10,116,31,95,24.60
./java/org/assertj/core/api/ThrowableAssertAlternative.java,442,17,425,349,93,78.96
./java/org/assertj/core/error/uri/ShouldHaveParameter.java,105,1,104,12,93,11.43
./java/org/assertj/core/util/introspection/PropertyOrFieldSupport.java,98,1,97,12,86,12.24
./java/org/assertj/core/util/diff/Delta.java,143,14,129,59,84,41.26
./java/org/assertj/core/util/introspection/FieldUtils.java,147,6,141,63,84,42.86
./java/org/assertj/core/util/Throwables.java,151,6,145,67,84,44.37
./java/org/assertj/core/api/AbstractCharacterAssert.java,256,11,245,174,82,67.97
./java/org/assertj/core/internal/Diff.java,102,2,100,22,80,21.57
./java/org/assertj/core/api/Condition.java,157,12,145,80,77,50.96
./java/org/assertj/core/util/URLs.java,132,6,126,57,75,43.18
./java/org/assertj/core/api/Assert.java,694,32,662,620,74,89.34
