DateTime	ClassName	FunctionName	Parameters	Line	StackDepth
2018-01-05T03:46:37.800	org.assertj.core.api.CoreApiTestClass	main	(java.lang.String[])	10 	1
2018-01-05T03:46:40.997	org.assertj.core.api.Assertions	assertThat	(java.time.Instant)	880 	2
2018-01-05T03:46:41.080	org.assertj.core.api.AssertionsForClassTypes	assertThat	(java.time.Instant)	587 	3
2018-01-05T03:46:41.247	org.assertj.core.api.WritableAssertionInfo	useRepresentation	(org.assertj.core.presentation.Representation)	138 	4
2018-01-05T03:46:41.262	org.assertj.core.api.Assertions	assertThat	(java.time.LocalDateTime)	824 	2
2018-01-05T03:46:41.264	org.assertj.core.api.AssertionsForClassTypes	assertThat	(java.time.LocalDateTime)	531 	3
2018-01-05T03:46:41.267	org.assertj.core.api.WritableAssertionInfo	useRepresentation	(org.assertj.core.presentation.Representation)	138 	4
2018-01-05T03:46:41.270	org.assertj.core.api.Assertions	assertThat	(java.time.LocalDate)	868 	2
2018-01-05T03:46:41.270	org.assertj.core.api.AssertionsForClassTypes	assertThat	(java.time.LocalDate)	575 	3
2018-01-05T03:46:41.273	org.assertj.core.api.WritableAssertionInfo	useRepresentation	(org.assertj.core.presentation.Representation)	138 	4
2018-01-05T03:46:41.274	org.assertj.core.api.Assertions	assertThat	(java.time.LocalTime)	857 	2
2018-01-05T03:46:41.275	org.assertj.core.api.AssertionsForClassTypes	assertThat	(java.time.LocalTime)	564 	3
2018-01-05T03:46:41.277	org.assertj.core.api.WritableAssertionInfo	useRepresentation	(org.assertj.core.presentation.Representation)	138 	4
2018-01-05T03:46:41.278	org.assertj.core.api.Assertions	assertThat	(java.time.OffsetDateTime)	835 	2
2018-01-05T03:46:41.278	org.assertj.core.api.AssertionsForClassTypes	assertThat	(java.time.OffsetDateTime)	542 	3
2018-01-05T03:46:41.280	org.assertj.core.api.WritableAssertionInfo	useRepresentation	(org.assertj.core.presentation.Representation)	138 	4
2018-01-05T03:46:41.281	org.assertj.core.api.Assertions	assertThat	(java.time.ZonedDateTime)	813 	2
2018-01-05T03:46:41.282	org.assertj.core.api.AssertionsForClassTypes	assertThat	(java.time.ZonedDateTime)	520 	3
2018-01-05T03:46:41.285	org.assertj.core.api.WritableAssertionInfo	useRepresentation	(org.assertj.core.presentation.Representation)	138 	4
2018-01-05T03:46:41.287	org.assertj.core.api.Assertions	assertThat	(java.time.OffsetTime)	846 	2
2018-01-05T03:46:41.289	org.assertj.core.api.AssertionsForClassTypes	assertThat	(java.time.OffsetTime)	553 	3
2018-01-05T03:46:41.291	org.assertj.core.api.WritableAssertionInfo	useRepresentation	(org.assertj.core.presentation.Representation)	138 	4
2018-01-05T03:46:41.308	org.assertj.core.api.Assertions	assertThat	(java.time.Instant)	880 	2
2018-01-05T03:46:41.309	org.assertj.core.api.AssertionsForClassTypes	assertThat	(java.time.Instant)	587 	3
2018-01-05T03:46:41.309	org.assertj.core.api.WritableAssertionInfo	useRepresentation	(org.assertj.core.presentation.Representation)	138 	4
